City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Launceston,-41.45,147.1667,51.01,93,40,12.66,1619029299
Malkara,40.89,26.9011,48.65,83,7,3.71,1619029299
Alibag,18.6411,72.8792,84.2,79,95,7.56,1619029299
Beisfjord,68.3751,17.5988,35.6,69,75,10.36,1619029300
Fort Saint James,54.4333,-124.25,54.41,47,73,9.75,1619029300
Chupa,66.27,33.0549,38.16,78,100,5.06,1619029301
Jahānābād,25.2167,84.9833,80.6,65,40,3.8,1619029301
Murud,18.3258,72.965,80.78,70,94,6.13,1619029302
Charlestown,-32.95,151.6667,52.0,73,1,6.78,1619029302
Yulara,-25.2406,130.9889,55.4,47,0,8.05,1619029302
Kyaikkami,16.08,97.5675,83.5,72,9,9.84,1619029303
Kailua,21.4022,-157.7394,77.0,83,40,7.02,1619029303
Alice Springs,-23.7,133.8833,48.2,61,2,5.75,1619029265
Komsomol'skoye,55.2567,47.5461,37.24,90,100,18.19,1619029304
Pandan Niog,6.2282,120.5631,82.0,69,96,1.41,1619029304
Lālmohan,22.3384,90.7419,80.89,82,63,14.5,1619029305
Ibimirim,-8.5406,-37.6903,85.33,51,91,4.18,1619029305
Hobyo,5.3505,48.5268,84.97,67,91,15.86,1619029306
Forio,40.7342,13.8646,57.99,69,100,1.01,1619029306
Ratholo,-22.7245,27.572,63.66,48,0,5.77,1619029306
São Miguel do Araguaia,-13.275,-50.1628,85.37,53,16,1.34,1619029239
Coahuayana Viejo,18.7333,-103.6833,86.0,17,1,7.31,1619029145
Kasane,-17.8167,25.15,69.8,49,0,5.75,1619029307
Piteå,65.3172,21.4794,39.2,70,0,2.3,1619029222
Etchoropo,26.7667,-109.6667,89.01,19,33,15.37,1619029308
Laas,46.6166,10.7002,59.0,53,20,6.91,1619029308
Vorotynets,56.0603,45.8633,39.4,90,100,17.05,1619029309
Kulhudhuffushi,6.6221,73.07,84.07,69,76,6.85,1619029309
Vostok,46.4856,135.8833,38.41,44,0,3.42,1619029309
Constitución,-35.3333,-72.4167,58.89,96,100,24.61,1619029310
Marabá,-5.3686,-49.1178,80.15,83,97,2.17,1619029310
Coquimbo,-29.9533,-71.3436,68.0,64,0,12.66,1619029311
Tygda,53.1167,126.3333,51.94,57,99,6.73,1619029311
Khovd,48.0056,91.6419,31.8,58,56,2.46,1619029311
Xixiang,35.1628,112.865,52.52,94,100,2.26,1619029312
Barra Patuca,15.8,-84.2833,85.57,60,48,15.37,1619029312
Kiryat Gat,31.61,34.7642,66.99,100,100,9.46,1619029312
Westport,41.1415,-73.3579,64.99,67,40,13.8,1619029313
Moussoro,13.6408,16.4901,95.88,6,74,9.4,1619029313
Wajima,37.4,136.9,52.65,47,2,2.51,1619029314
Lovozero,68.005,35.0117,31.89,92,100,5.79,1619029314
San Alberto,7.7611,-73.3922,89.37,58,100,4.03,1619029314
Moranbah,-22.0016,148.0466,70.18,90,100,3.96,1619029284
Roswell,34.0232,-84.3616,57.0,47,1,18.41,1619029315
Guerrero Negro,27.9769,-114.0611,65.07,56,42,10.89,1619029315
Tiffin,41.1145,-83.178,39.99,58,33,4.0,1619029316
Paamiut,61.994,-49.6678,34.2,77,28,6.06,1619029316
Arrondissement de Brive-la-Gaillarde,45.25,1.5,54.0,31,61,1.99,1619029317
Sura,53.8879,45.7419,42.96,94,100,15.7,1619029317
Ailigandí,9.2333,-78.0167,82.31,74,93,10.51,1619029317
Aswān,24.0934,32.907,95.5,17,69,14.54,1619029318
Puqi,29.7167,113.8833,64.06,98,100,4.54,1619029318
Mil'kovo,54.7167,158.6167,30.15,96,97,4.21,1619029318
Lethem,3.3803,-59.7968,93.15,41,63,10.58,1619029319
Tautira,-17.7333,-149.15,78.8,78,40,3.44,1619029319
Banepā,27.6298,85.5214,59.0,77,40,3.44,1619029320
Lata,40.1629,-8.3327,60.01,94,75,8.05,1619029320
Aného,6.2333,1.6,86.0,74,20,13.8,1619029320
Hornslet,56.3155,10.3204,46.4,57,19,18.41,1619029321
Berbera,10.4396,45.0143,83.44,73,26,7.72,1619029321
Corner Brook,48.9667,-57.9484,48.2,57,75,10.36,1619029322
Port Moresby,-9.4431,147.1797,75.2,94,20,5.75,1619029058
Shimabara,32.7833,130.3667,64.0,63,69,2.35,1619029322
Sompeta,18.9333,84.6,81.23,82,41,10.6,1619029323
Fairlie,55.756,-4.8556,55.99,56,26,1.99,1619029323
El Tocuyo,9.7873,-69.7937,87.8,45,40,12.66,1619029323
Saint-Louis,16.3333,-15.0,104.0,14,0,2.3,1619029324
São José da Coroa Grande,-8.8978,-35.1478,82.58,72,60,9.04,1619029324
Benjamin Constant,-4.3831,-70.0311,87.8,74,40,5.75,1619029325
Larsnes,62.2028,5.5773,39.0,87,75,8.05,1619029325
Sakaiminato,35.55,133.2333,46.4,81,75,5.75,1619029325
Muros,42.7762,-9.0603,57.0,91,100,5.12,1619029326
Quelimane,-17.8786,36.8883,75.2,94,75,8.05,1619029326
Nakhon Si Thammarat,8.25,100.0,78.42,87,72,4.56,1619029326
Altos,-5.0381,-42.46,89.6,55,75,4.61,1619029327
Mwinilunga,-11.7358,24.4293,65.98,77,98,4.34,1619029327
Takoradze,4.8845,-1.7554,83.68,74,58,12.55,1619029328
Buala,-8.145,159.5921,79.48,80,81,1.92,1619029328
Estelle,29.8458,-90.1067,64.0,55,1,14.97,1619029329
Lys'va,58.1086,57.8053,42.78,61,86,4.59,1619029329
Biak,-0.9131,122.8766,76.66,85,15,2.84,1619029329
Madang,-5.2246,145.7966,75.85,90,87,4.23,1619029330
Saint-Joseph,-21.3667,55.6167,77.0,83,90,17.27,1619029330
Caravelas,-17.7125,-39.2481,80.19,72,92,6.33,1619029331
Mogok,22.9167,96.5,68.74,34,0,2.33,1619029331
Thinadhoo,0.5333,72.9333,82.71,66,52,5.3,1619029331
Katherine,-14.4667,132.2667,75.2,73,97,5.75,1619029332
San Juan,-31.5375,-68.5364,65.07,48,70,17.43,1619029093
Sar-e Pul,35.8333,66.1667,52.95,64,73,2.62,1619029332
Arrifes,37.7667,-25.7,62.6,94,75,12.66,1619029333
Naryan-Mar,67.6713,53.087,36.39,90,100,11.45,1619029333
Tarquinia,42.2482,11.7553,55.4,71,20,8.05,1619029334
Lipari,38.4674,14.954,60.01,82,20,12.66,1619029334
Sarakhs,36.5449,61.1577,73.4,33,49,4.61,1619029335
Malaya Purga,56.5567,53.0043,50.0,35,100,4.0,1619029335
Pailón,-17.65,-62.75,84.2,74,75,14.97,1619029335
Manoel Urbano,-8.8389,-69.2597,82.42,82,70,3.94,1619029336
Santa Isabel,-23.3156,-46.2214,73.4,68,75,6.91,1619029336
Catemaco,18.4167,-95.1167,84.2,58,20,13.8,1619029337
Naranjal,-2.6667,-79.6167,88.0,58,40,4.61,1619029337
Biggar,55.6167,-3.5167,52.0,35,48,4.0,1619029337
Iza,48.2152,23.3287,50.0,87,75,3.44,1619029338
Xining,36.6167,101.7667,49.28,50,9,0.49,1619029338
La Ciotat,43.1748,5.6045,59.0,59,63,1.99,1619029339
Aksarka,66.5606,67.7975,32.11,94,100,9.62,1619029339
Naduvattam,11.4833,76.5667,56.89,88,74,1.34,1619029339
Broken Hill,-31.95,141.4333,50.0,50,44,10.29,1619029340
Mhlambanyatsi,-26.45,31.0167,100.4,71,2,9.22,1619029340
Kandrian,-6.2167,149.55,77.07,87,99,3.65,1619029341
Mandurah,-32.55,115.7,59.0,74,36,14.2,1619029341
Governador Valadares,-18.8511,-41.9494,85.15,38,34,6.78,1619029333
Shache,38.4167,77.2406,60.55,12,79,28.81,1619029342
Boyolangu,-8.1181,111.8935,73.54,88,29,0.81,1619029342
Yorosso,12.3536,-4.7761,96.13,20,54,11.34,1619029342
Praia da Vitória,38.7333,-27.0667,64.4,94,75,26.75,1619029343
Tsimmerbude,54.675,20.1347,46.4,81,0,13.42,1619029343
Onalaska,43.8844,-91.2351,42.8,36,90,10.36,1619029344
Celestún,20.8667,-90.4,83.66,68,9,12.59,1619029344
Waitati,-45.75,170.5667,51.01,97,100,1.63,1619029344
Laguna,38.421,-121.4238,69.01,48,1,4.61,1619029257
Maniitsoq,65.4167,-52.9,35.08,75,2,7.07,1619029345
São Félix do Xingu,-6.6447,-51.995,78.53,80,98,3.76,1619029345
Conceição do Araguaia,-8.2578,-49.2647,80.6,78,0,5.75,1619029346
Alyangula,-13.8483,136.4192,75.2,100,98,10.22,1619029346
Winslow,35.0242,-110.6974,71.6,8,1,25.32,1619029346
Sovetskiy,61.3614,63.5842,42.19,72,7,7.96,1619029347
Presidente Epitácio,-21.7633,-52.1156,87.64,24,0,5.79,1619029258
Abonnema,4.7084,6.7931,86.0,74,40,6.91,1619029347
Villaviciosa,43.4813,-5.4357,57.99,81,100,7.05,1619029348
Kumba,4.6363,9.4469,78.46,80,36,2.35,1619029348
Porto Velho,-8.7619,-63.9039,86.0,70,40,6.91,1619029348
Loandjili,-4.7561,11.8578,82.4,89,20,6.91,1619029349
Berezovyy,51.6667,135.7,31.55,93,39,3.69,1619029349
Bāndarban,22.1965,92.2262,72.45,91,23,2.33,1619029350
Maltahöhe,-24.8333,16.9833,71.49,22,35,10.78,1619029350
Viareggio,43.8735,10.2558,57.99,67,20,5.75,1619029350
Morón,-34.6534,-58.6198,78.01,62,20,5.99,1619029196
Carupano,10.6678,-63.2585,82.15,67,33,14.23,1619029351
Morondava,-20.2833,44.2833,79.12,73,98,11.41,1619029351
Belaya Gora,68.5333,146.4167,18.68,93,100,15.32,1619029352
Torres,-29.3353,-49.7269,69.08,82,100,10.71,1619029352
Lakeland Highlands,27.9597,-81.9501,84.99,50,1,9.22,1619029352
Castlemaine,-37.0667,144.2167,48.99,49,100,4.29,1619029353
Callaway,30.153,-85.5699,79.0,50,1,13.8,1619029141
Strezhevoy,60.7333,77.5889,19.4,79,0,0.96,1619029353
Hirara,24.8,125.2833,73.51,90,100,24.38,1619029354
Baruun-Urt,46.6806,113.2792,56.79,50,100,12.21,1619029354
Olinda,-8.0089,-34.8553,82.4,65,0,10.36,1619029354
Washougal,45.5826,-122.3534,66.0,51,40,3.09,1619029355
Rāvar,31.2656,56.8055,76.86,16,15,6.62,1619029356
Xiaoweizhai,26.1903,107.5125,65.61,99,89,1.63,1619029356
Kenai,60.5544,-151.2583,39.2,81,1,10.36,1619029357
Arrondissement de Saint-Gaudens,43.0833,0.6667,62.6,45,90,3.44,1619029357
